发送时间戳,当前时间戳,延迟差(ms)
1733300549749,1733300549921,172
1733300549740,1733300549921,181
1733300549836,1733300549921,85
1733300549795,1733300549922,127
1733300549759,1733300549922,163
1733300549687,1733300549922,235
1733300549814,1733300549922,108
1733300549821,1733300549922,101
1733300549758,1733300549923,165
1733300549776,1733300549924,148
1733300549742,1733300549934,192
1733300549813,1733300549934,121
1733300549779,1733300549934,155
1733300549731,1733300549934,203
1733300549795,1733300549935,140
1733300549765,1733300549935,170
1733300549766,1733300549935,169
1733300549832,1733300549935,103
1733300549837,1733300549935,98
1733300549780,1733300549936,156
1733300549776,1733300549936,160
1733300549832,1733300549936,104
1733300549663,1733300549944,281
1733300549725,1733300549944,219
1733300549802,1733300549944,142
1733300549780,1733300549944,164
1733300549778,1733300549945,167
1733300549604,1733300549945,341
1733300549712,1733300549945,233
1733300549738,1733300549945,207
1733300549758,1733300549946,188
1733300549686,1733300549946,260
1733300549787,1733300549946,159
1733300549779,1733300549946,167
1733300549791,1733300549946,155
1733300549767,1733300549947,180
1733300549600,1733300549947,347
1733300549745,1733300549947,202
1733300549796,1733300549947,151
1733300549800,1733300549947,147
1733300549751,1733300549948,197
1733300549677,1733300549948,271
1733300549838,1733300549948,110
1733300549757,1733300549948,191
1733300549830,1733300549948,118
1733300549688,1733300549949,261
1733300549731,1733300549949,218
1733300549697,1733300549949,252
1733300549768,1733300549955,187
1733300549794,1733300549955,161
1733300549873,1733300549956,83
1733300549739,1733300549957,218
1733300549848,1733300549957,109
1733300549847,1733300549959,112
1733300549814,1733300549959,145
1733300549776,1733300549959,183
1733300549752,1733300549960,208
1733300549732,1733300549960,228
1733300549771,1733300549960,189
1733300549863,1733300549960,97
1733300549830,1733300549961,131
1733300549847,1733300549961,114
1733300549844,1733300549961,117
1733300549888,1733300549961,73
1733300549832,1733300549961,129
1733300549754,1733300549962,208
1733300549907,1733300549962,55
1733300549799,1733300549970,171
1733300549734,1733300549971,237
1733300549671,1733300549971,300
1733300549791,1733300549971,180
1733300549854,1733300549972,118
1733300549823,1733300549972,149
1733300549868,1733300549972,104
1733300549803,1733300549972,169
1733300549741,1733300549972,231
1733300549858,1733300549973,115
1733300549887,1733300549975,88
1733300549758,1733300549975,217
1733300549838,1733300549975,137
1733300549792,1733300549976,184
1733300549902,1733300549976,74
1733300549731,1733300549976,245
1733300549728,1733300549976,248
1733300549824,1733300549977,153
1733300549781,1733300549977,196
1733300549782,1733300549977,195
1733300549868,1733300549979,111
1733300549858,1733300549983,125
1733300549901,1733300549984,83
1733300549862,1733300549986,124
1733300549848,1733300549986,138
1733300549831,1733300549987,156
1733300549821,1733300549987,166
1733300549629,1733300549987,358
1733300549762,1733300549987,225
1733300549893,1733300549987,94
1733300549707,1733300549988,281
1733300549757,1733300549988,231
1733300549742,1733300549988,246
1733300549708,1733300549988,280
1733300549715,1733300549989,274
1733300549904,1733300549989,85
1733300549807,1733300549989,182
1733300549884,1733300549990,106
1733300549692,1733300549990,298
1733300549918,1733300549990,72
1733300549845,1733300549990,145
1733300549901,1733300549991,90
1733300549810,1733300549991,181
1733300549802,1733300549991,189
1733300549921,1733300549991,70
1733300549790,1733300549991,201
1733300549898,1733300549991,93
1733300549908,1733300549992,84
1733300549907,1733300549992,85
1733300549901,1733300549992,91
1733300549954,1733300549992,38
1733300549843,1733300549992,149
1733300549918,1733300549993,75
1733300549890,1733300549993,103
1733300549936,1733300549993,57
1733300549760,1733300549993,233
1733300549856,1733300549994,138
1733300549832,1733300549994,162
1733300549942,1733300549994,52
1733300549941,1733300549994,53
1733300549951,1733300549995,44
1733300549770,1733300549995,225
1733300549800,1733300549995,195
1733300549789,1733300549995,206
1733300549855,1733300549996,141
1733300549817,1733300549996,179
1733300549918,1733300549996,78
1733300549922,1733300549996,74
1733300549841,1733300549996,155
1733300549946,1733300549997,51
1733300549924,1733300549997,73
1733300549897,1733300549997,100
1733300549848,1733300549997,149
1733300549956,1733300549998,42
1733300549936,1733300549998,62
1733300549785,1733300549998,213
1733300549828,1733300549998,170
1733300549832,1733300549999,167
1733300549831,1733300549999,168
1733300549864,1733300549999,135
1733300549911,1733300549999,88
1733300549729,1733300550000,271
1733300549866,1733300550000,134
1733300549835,1733300550000,165
1733300549940,1733300550000,60
1733300549938,1733300550001,63
1733300549929,1733300550001,72
1733300549963,1733300550001,38
1733300549879,1733300550001,122
1733300549920,1733300550001,81
1733300549959,1733300550001,42
1733300549963,1733300550002,39
1733300549873,1733300550002,129
1733300549918,1733300550002,84
1733300549884,1733300550002,118
1733300549929,1733300550002,73
1733300549973,1733300550003,30
1733300549978,1733300550003,25
1733300549708,1733300550003,295
1733300549978,1733300550003,25
1733300549976,1733300550003,27
1733300549871,1733300550004,133
1733300549918,1733300550004,86
1733300549977,1733300550004,27
1733300549803,1733300550005,202
1733300549920,1733300550005,85
1733300549866,1733300550005,139
1733300549850,1733300550005,155
1733300549813,1733300550005,192
1733300549966,1733300550006,40
1733300549975,1733300550006,31
1733300549984,1733300550006,22
1733300549971,1733300550006,35
1733300549987,1733300550006,19
1733300549816,1733300550006,190
1733300549894,1733300550007,113
1733300549885,1733300550007,122
1733300549677,1733300550007,330
1733300549809,1733300550007,198
1733300549894,1733300550008,114
1733300549835,1733300550008,173
1733300549911,1733300550008,97
1733300549922,1733300550008,86
